fecha,indicativo,nombre,provincia,tmin,longitud,latitud,altitud
2021-01-06,6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,9.1,-4.4816666666666665,36.717777777777776,54
2021-01-06,5530E,GRANADA AEROPUERTO,GRANADA,1.7,-3.7894444444444444,37.189722222222215,567
2021-01-06,6084X,FUENGIROLA,MALAGA,10.4,-4.618333333333334,36.53861111111111,8
2021-01-06,1078I,GÜEÑES,BIZKAIA,1.2,-3.104722222222222,43.20333333333333,208
2021-01-06,9208E,ARAGÜÉS DEL PUERTO,HUESCA,-9.2,-0.6730555555555555,42.70888888888889,1040
2021-01-06,0200E,"BARCELONA, FABRA",BARCELONA,1,2.1241666666666665,41.41833333333333,408
2021-01-06,9019B,"VALDERREDIBLE, POLIENTES",CANTABRIA,-5.2,-3.933888888888889,42.80638888888888,720
2021-01-06,2946X,SAELICES EL CHICO,SALAMANCA,-7.7,-6.6,40.635,680
2021-01-06,1549,PONFERRADA,LEON,-4,-6.6,42.56388888888888,534
2021-01-06,3100B,ARANJUEZ,MADRID,-8,-3.546111111111111,40.06722222222223,540
2021-01-06,4147X,VALDEPEÑAS,CIUDAD REAL,-6.3,-3.391388888888889,38.75055555555556,700
2021-01-06,2400E,AUTILLA DEL PINO,PALENCIA,-5.3,-4.602777777777778,41.995555555555555,874
2021-01-06,5000C,CEUTA,CEUTA,9.7,-5.3469444444444445,35.88861111111111,87
2021-01-06,9051,MEDINA DE POMAR,BURGOS,-5.1,-3.4827777777777778,42.919999999999995,580
2021-01-06,7275C,YECLA,MURCIA,-6.8,-1.159722222222222,38.60166666666667,640
2021-01-06,2298,PALACIOS DE LA SIERRA,BURGOS,-13.2,-3.131666666666667,41.959722222222226,1080
2021-01-06,3168D,GUADALAJARA,GUADALAJARA,-5.6,-3.15,40.63027777777778,721
2021-01-06,9585,LA MOLINA,GIRONA,-10.2,1.9394444444444445,42.3325,1703
2021-01-06,2462,PUERTO DE NAVACERRADA,MADRID,-9.7,-4.010555555555555,40.793055555555554,1894
2021-01-06,2630X,PUERTO DE SAN ISIDRO,LEON,-13.1,-5.376944444444444,43.06222222222222,1510
2021-01-06,B278,"PALMA DE MALLORCA, AEROPUERTO",ILLES BALEARS,-2.4,2.736666666666667,39.56083333333333,8
2021-01-06,3298X,SAN PABLO DE LOS MONTES,TOLEDO,-3.5,-4.350555555555555,39.54694444444444,917
2021-01-06,4244X,HERRERA DEL DUQUE,BADAJOZ,-4.8,-5.062222222222222,39.169444444444444,447
2021-01-06,2539,VALLADOLID AEROPUERTO,VALLADOLID,-7.4,-4.855555555555555,41.71194444444445,846
2021-01-06,7178I,MURCIA,MURCIA,2.4,-1.1708333333333334,38.00194444444445,61
2021-01-06,2444,ÁVILA,AVILA,-7.9,-4.680000000000001,40.659166666666664,1130
2021-01-06,6302A,ABLA,ALMERIA,2.6,-2.78,37.14138888888889,869
2021-01-06,3196,"MADRID, CUATRO VIENTOS",MADRID,-3.2,-3.786111111111111,40.37555555555556,690
2021-01-06,2030,SORIA,SORIA,-8.9,-2.4830555555555556,41.775,1082
2021-01-06,4560Y,ALAJAR,HUELVA,0.6,-6.675000000000001,37.868611111111115,572
2021-01-06,1050J,ELGOIBAR,GIPUZKOA,-1.8,-2.413333333333333,43.20944444444445,119
2021-01-06,0149X,MANRESA,BARCELONA,-5.3,1.840277777777778,41.72,291
2021-01-06,8309X,UTIEL,VALENCIA,-6.2,-1.2447222222222223,39.57555555555556,758
